year,sessions
2018,111939
2018,82784
2018,12162
2018,112149
2018,9753
2018,21239
2018,13010
2018,16333
2018,24989
2018,14323
2018,31292
2018,76409
2018,128177
2018,57702
2018,51202
2018,16232
2018,14475
2018,26974
2018,133544
2018,50205
2018,121507
2018,21914
2018,40326
2018,61911
2018,72517
2018,65983
2018,30300
2018,4008
2018,42709
2018,41801
2018,5700
2018,13481
2018,26289
2018,55733
2018,14583
2018,37264
2018,29894
2018,130320
2018,16717
2018,30554
2018,9772
2018,6015
2018,16657
2018,16987
2018,32396
2018,10281
2018,10942
2018,43864
2018,18622
2018,23749
2018,29139
2018,14458
2018,20752
2018,40048
2018,108743
2018,26001
2018,83951
2018,81688
2018,30641
2018,36451
2018,15725
2018,6809
2018,34992
2018,30116
2018,104897
2018,13858
2018,15193
2018,21743
2018,60571
2018,5775
2018,103625
2018,62072
2018,23629
2018,10086
2018,13400
2018,13869
2018,45729
2018,71177
2018,68987
2018,11519
2018,52512
2018,631
2018,45256
2018,51621
2018,24264
2018,15469
2018,14624
2018,1443
2018,64722
2018,8594
2018,50333
2018,3450
2018,428446
2018,9463
2018,26060
2018,13555
2018,75752
2018,16140
2018,22390
2018,93349
2019,105936
2019,54592
2019,10518
2019,110006
2019,9414
2019,20898
2019,13549
2019,16706
2019,25777
2019,13281
2019,26353
2019,66397
2019,119884
2019,51475
2019,47541
2019,17393
2019,14182
2019,21971
2019,124808
2019,47505
2019,227153
2019,21432
2019,36170
2019,46052
2019,43740
2019,61486
2019,29528
2019,4311
2019,40379
2019,38638
2019,5383
2019,12828
2019,20341
2019,55205
2019,17319
2019,38890
2019,29562
2019,132363
2019,16283
2019,28864
2019,3327
2019,6809
2019,15568
2019,15515
2019,33287
2019,11207
2019,10952
2019,41567
2019,14749
2019,25099
2019,27027
2019,13628
2019,21315
2019,36896
2019,91815
2019,23379
2019,79554
2019,79476
2019,29609
2019,31430
2019,12713
2019,5368
2019,32754
2019,29277
2019,92396
2019,12233
2019,13824
2019,19498
2019,49103
2019,5480
2019,53495
2019,28959
2019,21569
2019,8556
2019,13878
2019,10704
2019,44200
2019,71343
2019,67083
2019,10536
2019,53178
2019,546
2019,43849
2019,1473
2019,58962
2019,27347
2019,14116
2019,36129
2019,2707
2019,58495
2019,8422
2019,42950
2019,3749
2019,390307
2019,9070
2019,26812
2019,14657
2019,72288
2019,21130
2019,62065
2020,26076
2020,1892
2020,25441
2020,1811
2020,5746
2020,4251
2020,4129
2020,5912
2020,3706
2020,7102
2020,18233
2020,31570
2020,14194
2020,10115
2020,2989
2020,2888
2020,4810
2020,35952
2020,8603
2020,62120
2020,4090
2020,9723
2020,13816
2020,11773
2020,15121
2020,7374
2020,922
2020,8753
2020,10679
2020,852
2020,3408
2020,4497
2020,12119
2020,4598
2020,7407
2020,6271
2020,32314
2020,3739
2020,6205
2020,2225
2020,1232
2020,4426
2020,3582
2020,7341
2020,3415
2020,2229
2020,11692
2020,3568
2020,7509
2020,7709
2020,2755
2020,5065
2020,8879
2020,26622
2020,7986
2020,20033
2020,19854
2020,7509
2020,8491
2020,3871
2020,1040
2020,5973
2020,6127
2020,26221
2020,3650
2020,3370
2020,4420
2020,11283
2020,1099
2020,24647
2020,15114
2020,5166
2020,1732
2020,3843
2020,2064
2020,10683
2020,20928
2020,16323
2020,2595
2020,12650
2020,144
2020,12080
2020,1390
2020,9389
2020,7287
2020,2867
2020,7465
2020,607
2020,14360
2020,2360
2020,11491
2020,754
2020,113637
2020,1886
2020,7825
2020,3980
2020,13434
2020,4700
2020,8832
2021,14154
2021,504
2021,10508
2021,1044
2021,3349
2021,1588
2021,1970
2021,2747
2021,1597
2021,3402
2021,8645
2021,15125
2021,6654
2021,4211
2021,711
2021,1223
2021,2658
2021,15494
2021,29480
2021,1019
2021,4674
2021,5654
2021,9331
2021,6770
2021,3048
2021,3707
2021,4215
2021,341
2021,1548
2021,2518
2021,4067
2021,1936
2021,3854
2021,2479
2021,15276
2021,1867
2021,2695
2021,758
2021,449
2021,1542
2021,1284
2021,3409
2021,982
2021,909
2021,5875
2021,1385
2021,3224
2021,5727
2021,915
2021,2526
2021,3700
2021,14526
2021,4891
2021,7303
2021,7608
2021,2602
2021,3898
2021,1652
2021,2661
2021,2324
2021,14308
2021,1480
2021,1608
2021,1934
2021,3053
2021,274
2021,13675
2021,5033
2021,1523
2021,469
2021,1565
2021,529
2021,4799
2021,9403
2021,8291
2021,1166
2021,6778
2021,5578
2021,709
2021,1922
2021,4073
2021,705
2021,2207
2021,5318
2021,926
2021,5107
2021,157
2021,49391
2021,938
2021,4390
2021,1409
2021,5878
2021,1929
2021,3571
2022,44967
2022,14030
2022,2587
2022,35212
2022,1852
2022,6485
2022,5981
2022,6340
2022,9480
2022,5019
2022,9254
2022,21799
2022,48813
2022,20232
2022,17132
2022,4884
2022,6156
2022,9196
2022,43222
2022,11020
2022,87439
2022,6025
2022,15464
2022,17395
2022,31542
2022,22943
2022,8493
2022,1010
2022,10777
2022,14964
2022,1137
2022,3613
2022,8193
2022,18279
2022,6495
2022,14731
2022,9928
2022,46018
2022,3697
2022,6531
2022,2700
2022,2728
2022,3568
2022,3144
2022,9156
2022,3551
2022,2807
2022,17688
2022,3350
2022,10134
2022,17130
2022,4649
2022,6381
2022,7941
2022,53604
2022,11288
2022,23708
2022,24408
2022,7915
2022,12200
2022,5121
2022,9766
2022,11739
2022,40022
2022,4798
2022,5557
2022,5348
2022,14645
2022,1690
2022,43158
2022,26672
2022,6610
2022,2287
2022,3536
2022,4032
2022,16743
2022,25414
2022,28534
2022,3016
2022,17522
2022,21266
2022,2182
2022,14698
2022,9443
2022,5208
2022,8960
2022,540
2022,16305
2022,2401
2022,16651
2022,1220
2022,136640
2022,2572
2022,14837
2022,4115
2022,21028
2022,3836
2022,8755
2022,16088
